ID,Pop,Country,Lat,Long,Elev,MajorComponent,K1,K2,K3,K4,K5,K6,K7,K8
HM300,PI660488SSD,Italy,37.91666667,13.95,587.215,K8.6,0.00001,0.00001,0.00001,0.000209,0.00001,0.634864,0.364878,0.00001
HM301,PI660494SSD,Italy,40.55,14.23333333,161.741,K8.7,0.00001,0.00001,0.064235,0.00001,0.039406,0.183185,0.713134,0.00001
HM010,SA24714,Italy,37.533,14.517,226.711,K8.7,0.00001,0.00001,0.00001,0.00001,0.050044,0.156254,0.793652,0.00001
HM151,SA25226,Italy,37.133,14.917,694.944,K8.7,0.00001,0.00001,0.00001,0.00001,0.053694,0.00001,0.946246,0.00001
HM040,SA03780,Italy,38.1,15.65,40.16,K8.7,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001
HM111,SA27192,Italy,NA,NA,50,K8.7,0.00001,0.00001,0.081256,0.00001,0.045806,0.157137,0.715762,0.00001
HM293,PI660411SSD,Italy,NA,NA,NA,K8.7,0.00001,0.00001,0.078128,0.059217,0.113262,0.129025,0.620338,0.00001
HM197,SA12455,"Italy,Sardinia",NA,NA,70,K8.6,0.030478,0.038132,0.00001,0.401731,0.00001,0.454085,0.075543,0.00001
HM045,SA14163,Jordan,32,35,209.111,K8.7,0.00001,0.00001,0.00001,0.00001,0.549295,0.00001,0.450645,0.00001
HM044,SA14161,Jordan,32.317,35.75,883.22,K8.7,0.00001,0.00001,0.00001,0.00001,0.365498,0.00001,0.634442,0.00001
HM287,PI577607SSD,Lebanon,33.818482,35.840678,934.104,K8.7,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001
HM146,SA21302,Libya,32.667,14.25,14.345,K8.7,0.00001,0.00001,0.069666,0.00001,0.00001,0.00001,0.930274,0.00001
HM147,SA21362,Libya,31.417,15.25,205.93,K8.5,0.00001,0.00001,0.00001,0.00001,0.857286,0.00001,0.142654,0.00001
HM148,SA21590,Libya,31.25,16.033,221.382,K8.7,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001
HM041,SA09048,Libya,32.2,20.55,104.751,K8.7,0.00001,0.166677,0.008195,0.065907,0.496652,0.00001,0.262539,0.00001
HM138,SA08454,Libya,32.5,20.833,330.214,K8.7,0.00001,0.022298,0.00001,0.048037,0.490173,0.00001,0.439452,0.00001
HM312,PI577609SSD,Malta,35.891879,14.503041,49.146,K8.7,0.00001,0.00001,0.037647,0.020845,0.00001,0.22666,0.714807,0.00001
HM071,SA08626,Morocco,29.717,-9.6,257.608,K8.2,0.097979,0.562182,0.00001,0.088802,0.030727,0.00001,0.047875,0.172415
HM307,PI516927SSD,Morocco,31.28333333,-8.86666667,655.105,K8.8,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993
HM012,SA26063,Morocco,32.167,-8.833,286.593,K8.8,0.00001,0.00001,0.033584,0.00001,0.00001,0.00001,0.00001,0.966356
HM154,SA27778,Morocco,32.55,-7.683,260.171,K8.8,0.00001,0.00001,0.00001,0.000012,0.00001,0.00001,0.00001,0.999928
HM309,PI516939SSD,Morocco,33.56,-7.1,286.764,K8.8,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993
HM139,SA08623,Morocco,33.067,-7,647.789,K8.8,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993
HM155,SA27961,Morocco,31.833,-6.933,861.715,K8.8,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993
HM260,PI516934SSD,Morocco,33.05,-6.7,877.206,K8.7,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001
HM046,SA27882,Morocco,33.083,-6.667,743.91,K8.2,0.037713,0.500422,0.00001,0.138674,0.00727,0.00001,0.038441,0.27746
HM308,PI516933SSD,Morocco,33.75,-6.65,341.608,K8.8,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.465269,0.534671
HM279,PI660460SSD,Morocco,34.5,-6.35,8.191,K8.1,0.99993,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
HM299,PI660456SSD,Morocco,33.82,-6.08,446.482,K8.8,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993
HM271,PI384664SSD,Morocco,35.48,-6.03,7.565,K8.2,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
HM070,SA08625,Morocco,33,-6,957.644,K8.2,0.039082,0.473089,0.00001,0.117882,0.001347,0.00001,0.044633,0.323946
HM193,SA08638,Morocco,33.167,-5.633,1091.775,K8.8,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993
HM152,SA25654,Morocco,33.883,-5.617,512.359,K8.8,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993
HM304,PI384660SSD,Morocco,33.16666667,-5.56666667,1117.567,K8.8,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993
HM201,SA24576,Morocco,34.083,-5,431.285,K8.8,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993
HM305,PI384662SSD,Morocco,34.23,-3.55,436.485,K8.8,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993
HM311,PI535752SSD,Morocco,34.4,-2.04,933.321,K8.8,0.385738,0.086279,0.00001,0.00001,0.00001,0.00001,0.00001,0.527933
HM262,PI564941SSD,Morocco,NA,NA,NA,K8.8,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993
HM191,SA03653,Portugal,38.733,-9.133,56.357,K8.7,0.00001,0.149468,0.063758,0.04207,0.077543,0.216459,0.397195,0.053496
HM306,PI493295SSD,Portugal,38.471116,-8.989549,50.155,K8.2,0.00001,0.549468,0.00001,0.00001,0.001023,0.00001,0.324184,0.125286
HM038,PRT180-A,Portugal,37.193,-8.887,35.686,K8.8,0.00001,0.450984,0.00001,0.00001,0.00001,0.00001,0.00001,0.548956
HM065,PRT179-J,Portugal,37.075,-8.8,31.059,K8.8,0.00001,0.496961,0.00001,0.00001,0.00001,0.00001,0.00001,0.502979
HM205,SA28375,Portugal,37.067,-8.8,48.018,K8.8,0.00001,0.518325,0.00001,0.00001,0.00001,0.00001,0.016596,0.465029
HM064,PRT178-D,Portugal,37.206,-8.488,25,K8.7,0.00001,0.197673,0.00001,0.00001,0.00001,0.127079,0.451788,0.22342
HM189,PRT177-C,Portugal,37.19,-8.081,128.108,K8.2,0.00001,0.692104,0.00001,0.00001,0.00001,0.00001,0.00001,0.307836
HM063,PRT176-F,Portugal,37.153,-7.726,89.15,K8.2,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
HM098,PRT176-12,Portugal,37.153,-7.726,89.15,K8.2,0.00001,0.403552,0.031308,0.00001,0.00001,0.229275,0.335826,0.00001
HM068,SA03648,Portugal,37.15,-7.55,20.245,K8.2,0.00001,0.96987,0.00001,0.00001,0.00001,0.00001,0.00001,0.03007
HM270,PI493297SSD,Portugal,37.21666667,-7.43333333,33.702,K8.2,0.00001,0.712318,0.00001,0.00001,0.00001,0.00001,0.00001,0.287622
HM190,SA02806,Portugal,38.867,-7.283,425.041,K8.8,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993
HM125,ESP175-A,Spain,37.284,-7.122,27.296,K8.2,0.00001,0.976067,0.00001,0.00001,0.00001,0.00001,0.00001,0.023873
HM181,ESP175-D,Spain,37.284,-7.122,27.296,K8.2,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
HM092,ESP174-A,Spain,37.333,-6.761,12.224,K8.2,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
HM093,ESP173-A,Spain,37.391,-6.233,29.96,K8.8,0.00001,0.152883,0.00001,0.00001,0.00001,0.012586,0.00001,0.834481
HM091,ESP171-F,Spain,36.388,-6.113,28.347,K8.2,0.00001,0.407577,0.051424,0.00001,0.02802,0.170666,0.342284,0.00001
HM057,ESP155-D,Spain,37.534,-5.964,47.341,K8.8,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993
HM089,ESP155-A,Spain,37.534,-5.964,47.341,K8.8,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993
HM119,ESP050-B,Spain,37.06,-5.808,30.547,K8.8,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993
HM172,ESP048-E,Spain,36.429,-5.703,58.605,K8.8,0.00001,0.446333,0.00001,0.00001,0.00001,0.00001,0.00001,0.553607
HM173,ESP048-F,Spain,36.429,-5.703,58.605,K8.8,0.00001,0.406258,0.00001,0.00001,0.00001,0.00001,0.00001,0.593682
HM118,ESP043-B,Spain,36.42,-5.125,8.719,K8.2,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
HM031,ESP158-A,Spain,37.529,-5.023,117.905,K8.8,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993
HM178,ESP103-B,Spain,37.728,-4.854,223.837,K8.8,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993
HM170,ESP042-B,Spain,36.577,-4.843,419.936,K8.2,0.010636,0.819658,0.00001,0.00001,0.00001,0.00001,0.00001,0.169656
HM124,Esp165-D,Spain,36.685,-4.793,205.672,K8.2,0.00001,0.805443,0.00001,0.00001,0.00001,0.00001,0.00001,0.194497
HM122,Esp159-11,Spain,37.424,-4.755,253.468,K8.8,0.000017,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.999923
HM177,ESP100-G,Spain,37.06,-4.626,401.494,K8.8,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993
HM121,ESP104-A,Spain,37.946,-4.525,153.298,K8.8,0.00001,0.000011,0.00001,0.00001,0.00001,0.00001,0.00001,0.999929
HM179,ESP162-A,Spain,37.245,-4.315,480.453,K8.8,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993
HM058,ESP163-E,Spain,36.989,-4.285,883.633,K8.2,0.00001,0.99993,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
HM180,ESP163-C,Spain,36.989,-4.285,883.633,K8.8,0.00001,0.04864,0.00001,0.00001,0.00001,0.00001,0.00001,0.9513
HM175,ESP098-B,Spain,37.104,-4.232,638.808,K8.8,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993
HM176,ESP098-C,Spain,37.104,-4.232,638.808,K8.8,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993
HM169,ESP039-A,Spain,36.95,-4.122,914.008,K8.8,0.00001,0.088321,0.00001,0.00001,0.00001,0.00001,0.00001,0.911619
